output	wmo	daynight	icon	fallback_depth
wmo-0-day.svg	0	day	clear-day	0
wmo-0-night.svg	0	night	clear-night	0
wmo-1-day.svg	1	day	mostly-clear-day	0
wmo-1-night.svg	1	night	mostly-clear-night	0
wmo-2-day.svg	2	day	partly-cloudy-day	0
wmo-2-night.svg	2	night	partly-cloudy-night	0
wmo-3-day.svg	3	day	overcast-day	0
wmo-3-night.svg	3	night	overcast-night	0
wmo-45-day.svg	45	day	fog-day	0
wmo-45-night.svg	45	night	fog-night	0
wmo-48-day.svg	48	day	extreme-day-fog	0
wmo-48-night.svg	48	night	extreme-night-fog	0
wmo-51-day.svg	51	day	partly-cloudy-day-drizzle	0
wmo-51-night.svg	51	night	partly-cloudy-night-drizzle	0
wmo-53-day.svg	53	day	overcast-day-drizzle	0
wmo-53-night.svg	53	night	overcast-night-drizzle	0
wmo-55-day.svg	55	day	extreme-day-drizzle	0
wmo-55-night.svg	55	night	extreme-night-drizzle	0
wmo-56-day.svg	56	day	partly-cloudy-day-sleet	0
wmo-56-night.svg	56	night	partly-cloudy-night-sleet	0
wmo-57-day.svg	57	day	extreme-day-sleet	0
wmo-57-night.svg	57	night	extreme-night-sleet	0
wmo-61-day.svg	61	day	partly-cloudy-day-rain	0
wmo-61-night.svg	61	night	partly-cloudy-night-rain	0
wmo-63-day.svg	63	day	overcast-day-rain	0
wmo-63-night.svg	63	night	overcast-night-rain	0
wmo-65-day.svg	65	day	extreme-day-rain	0
wmo-65-night.svg	65	night	extreme-night-rain	0
wmo-66-day.svg	66	day	overcast-day-sleet	0
wmo-66-night.svg	66	night	overcast-night-sleet	0
wmo-67-day.svg	67	day	extreme-day-sleet	0
wmo-67-night.svg	67	night	extreme-night-sleet	0
wmo-71-day.svg	71	day	partly-cloudy-day-snow	0
wmo-71-night.svg	71	night	partly-cloudy-night-snow	0
wmo-73-day.svg	73	day	overcast-day-snow	0
wmo-73-night.svg	73	night	overcast-night-snow	0
wmo-75-day.svg	75	day	extreme-day-snow	0
wmo-75-night.svg	75	night	extreme-night-snow	0
wmo-77-day.svg	77	day	overcast-day-hail	0
wmo-77-night.svg	77	night	overcast-night-hail	0
wmo-80-day.svg	80	day	mostly-clear-day-rain	0
wmo-80-night.svg	80	night	mostly-clear-night-rain	0
wmo-81-day.svg	81	day	partly-cloudy-day-rain	0
wmo-81-night.svg	81	night	partly-cloudy-night-rain	0
wmo-82-day.svg	82	day	extreme-day-rain	0
wmo-82-night.svg	82	night	extreme-night-rain	0
wmo-85-day.svg	85	day	mostly-clear-day-snow	0
wmo-85-night.svg	85	night	mostly-clear-night-snow	0
wmo-86-day.svg	86	day	extreme-day-snow	0
wmo-86-night.svg	86	night	extreme-night-snow	0
wmo-95-day.svg	95	day	thunderstorms-overcast-day-rain	0
wmo-95-night.svg	95	night	thunderstorms-overcast-night-rain	0
wmo-96-day.svg	96	day	thunderstorms-overcast-day-hail	0
wmo-96-night.svg	96	night	thunderstorms-overcast-night-hail	0
wmo-99-day.svg	99	day	extreme-thunderstorms-extreme-day-hail	0
wmo-99-night.svg	99	night	extreme-thunderstorms-extreme-night-hail	0
